Ziagenavir ; Abacavir ; 
Acetato de Ciproterona + Etinilestradiol ; Acetato De Ciproterona + Etinilestradiol ; 
Acetato de Ciproterona + Etinilestradiol ; Acetato De Ciproterona + Etinilestradiol ; 
Artemidis 35 ; Acetato De Ciproterona + Etinilestradiol ; 
Diane 35 ; Acetato De Ciproterona + Etinilestradiol ; 
Diclin ; Acetato De Ciproterona + Etinilestradiol ; 
Dunia 35 ; Acetato De Ciproterona + Etinilestradiol ; 
Ferane 35 ; Acetato De Ciproterona + Etinilestradiol ; 
Lydian ; Acetato De Ciproterona + Etinilestradiol ; 
Selene ; Acetato De Ciproterona + Etinilestradiol ; 
Tess ; Acetato De Ciproterona + Etinilestradiol ; 
Ciprane ; Acetato De Ciproterona + Etinilestradiol ; 
Elamax ; Acetato De Ciproterona + Etinilestradiol ; 
Aixa ; Acetato De Clormadinona + Etinilestradiol ; 
Belara ; Acetato De Clormadinona + Etinilestradiol ; 
Belarina ; Acetato De Clormadinona + Etinilestradiol ; 
Acetato de Clostebol + Sulfato de Neomicina ; Acetato De Clostebol + Sulfato De Neomicina ; 
Novaderm ; Acetato De Clostebol + Sulfato De Neomicina ; 
Trofodermin ; Acetato De Clostebol + Sulfato De Neomicina ; 
Clostemin ; Acetato De Clostebol + Sulfato De Neomicina ; 
Firmagon ; Acetato De Degarelix ; 
Acetato De Desmopressina ; Acetato De Desmopressina ; 
Ddavp ; Acetato De Desmopressina ; 
D Void ; Acetato De Desmopressina ; 
Desmopressina ; Acetato De Desmopressina ; 
Acetato de Dexametasona ; Acetato De Dexametasona ; 
Acetato de Dexametasona ; Acetato De Dexametasona ; 
Acetato de Dexametasona ; Acetato De Dexametasona ; 
Acetato de Dexametasona ; Acetato De Dexametasona ; 
Acetato de Dexametasona ; Acetato De Dexametasona ; 
Cetadex ; Acetato De Dexametasona ; 
Cortitop ; Acetato De Dexametasona ; 
Decadronal ; Acetato De Dexametasona ; 
Dexaden ; Acetato De Dexametasona ; 
Dexadermil ; Acetato De Dexametasona ; 
Dexametax ; Acetato De Dexametasona ; 
Lisoderme ; Acetato De Dexametasona ; 
Acetato de Dexametasona ; Acetato De Dexametasona ; 
Acetato de Dexametasona ; Acetato De Dexametasona ; 
Acetato de Dexametasona ; Acetato De Dexametasona ; 
Dexagreen ; Acetato De Dexametasona ; 
Dexametonal ; Acetato De Dexametasona ; 
Metadex ; Acetato De Dexametasona ; 
Abfor Gerin ; Acetato De Dextroalfatocoferol + Riboflavina ; 
Vieta ; Acetato De Dextroalfatocoferol + Riboflavina ; 
Florinefe ; Acetato De Fludrocortisona ; 
Florate ; Acetato De Fluormetolona ; 
Flumex ; Acetato De Fluormetolona ; 
Flutinol ; Acetato De Fluormetolona ; 
Copaxone ; Acetato De Glatirâmer ; 
Zoladex ; Acetato De Gosserrelina ; 
Zoladex La ; Acetato De Gosserrelina ; 
Acetato De Hidrocortisona ; Acetato De Hidrocortisona ; 
Acetato De Hidrocortisona ; Acetato De Hidrocortisona ; 
Berlison ; Acetato De Hidrocortisona ; 
Cortisonal ; Acetato De Hidrocortisona ; 
Hemocort ; Acetato De Hidrocortisona ; 
Hemofiss ; Acetato De Hidrocortisona ; 
Therasona ; Acetato De Hidrocortisona ; 
Proctan ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Proctfis H ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Proctosan ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Procts H ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Hemodase ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Hemorroydina ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Hemotheo ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Proctheo ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Proctoliv ; Acetato De Hidrocortisona + Lidocaína + Subgalato De Bismuto + Óxido De Zinco ; 
Firazyr ; Acetato De Icatibanto ; 
Somatuline Autogel ; Acetato De Lanreotida ; 
Lectrum ; Acetato De Leuprorrelina ; 
Eligard ; Acetato De Leuprorrelina ; 
Lorelin Depot ; Acetato De Leuprorrelina ; 
Lupron ; Acetato De Leuprorrelina ; 
Lupron Depot ; Acetato De Leuprorrelina ; 
Acetoflux ; Acetato De Medroxiprogesterona ; 
Contracep ; Acetato De Medroxiprogesterona ; 
Demedrox ; Acetato De Medroxiprogesterona ; 
Depo Provera ; Acetato De Medroxiprogesterona ; 
Farlutal ; Acetato De Medroxiprogesterona ; 
Provera ; Acetato De Medroxiprogesterona ; 
Acemedrox ; Acetato De Medroxiprogesterona ; 
Repogen Ciclo ; Acetato De Medroxiprogesterona ; 
Repogen Conti ; Acetato De Medroxiprogesterona ; 
Cyclofemina ; Acetato De Medroxiprogesterona + Cipionato De Estradiol ; 
Depomês ; Acetato De Medroxiprogesterona + Cipionato De Estradiol ; 
Femigestrol ; Acetato De Megestrol ; 
Megestat ; Acetato De Megestrol ; 
Depo-Medrol ; Acetato De Metilprednisolona ; 
Predi Medrol ; Acetato De Metilprednisolona ; 
Unimedrol ; Acetato De Metilprednisolona ; 
Alergolon ; Acetato De Metilprednisolona ; 
Solu Pred ; Acetato De Metilprednisolona ; 
Synarel ; Acetato De Nafarelina ; 
Lutenil ; Acetato De Nomegestrol ; 
Zoely ; Acetato De Nomegestrol ; 
Stezza ; Acetato De Nomegestrol + Estradiol ; 
Estradiol + Acetato de Noretisterona ; Acetato De Noretisterona + Estradiol ; 
Gineane ; Acetato De Noretisterona + Estradiol ; 
Kliogest ; Acetato De Noretisterona + Estradiol ; 
Octride ; Acetato De Octreotida ; 
Sandostatin LAR ; Acetato De Octreotida ; 
Acetato de Octreotida ; Acetato De Octreotida ; 
Acetato de Prednisolona ; Acetato De Prednisolona ; 
Acetato de Prednisolona ; Acetato De Prednisolona ; 
Acetato de Prednisolona ; Acetato De Prednisolona ; 
Acetato de Prednisolona ; Acetato De Prednisolona ; 
Fosfato Sódico de Prednisolona ; Acetato De Prednisolona ; 
Fosfato Sódico de Prednisolona ; Acetato De Prednisolona ; 
Oftpred ; Acetato De Prednisolona ; 
Pred Fort ; Acetato De Prednisolona ; 
Pred Gran ; Acetato De Prednisolona ; 
Pred Mild ; Acetato De Prednisolona ; 
Predoptic ; Acetato De Prednisolona ; 
Ster ; Acetato De Prednisolona ; 
Oralpred ; Acetato De Prednisolona ; 
Prednisolon ; Acetato De Prednisolona ; 
Rifocort ; Acetato De Prednisolona ; 
Cazigeran ; Acetato De Racealfatocoferol ; 
Emama ; Acetato De Racealfatocoferol ; 
Ephynal ; Acetato De Racealfatocoferol ; 
Teutovit E ; Acetato De Racealfatocoferol ; 
Vita E 400 ; Acetato De Racealfatocoferol ; 
Bio 5 ; Acetato De Racealfatocoferol ; 
Amplavit ; Acetato De Retinol ; 
Arovit ; Acetato De Retinol ; 
Retinar ; Acetato De Retinol ; 
Ad-Til ; Acetato De Retinol + Colecalciferol ; 
Aderogil ; Acetato De Retinol + Colecalciferol ; 
Organoneuro Optico ; Acetato De Retinol + Colecalciferol + Cloridrato De Tiamina + Riboflavina + Associações ; 
Gretivit ; Acetato De Retinol + Colecalciferol + Cloridrato De Tiamina + Riboflavina + Associações ; 
Acetato de Sódio ; Acetato De Sódio Tri-Hidratado ; 
Gonapeptyl Daily ; Acetato De Triptorrelina  ; 
Gonapeptyl Depot ; Acetato De Triptorrelina  ; 
Neo Decapeptyl ; Acetato De Triptorrelina  ; 
Dexavison Colírio ; Acetato De Dexametasona + Sulfato De Neomicina ; 
Neodex ; Acetato De Dexametasona + Sulfato De Neomicina ; 
Trivagel N ; Acetato De Dexametasona + Sulfato De Neomicina ; 
Metcort ; Acetato De Dexametasona + Sulfato De Neomicina ; 
Neocortin ; Acetato De Dexametasona + Sulfato De Neomicina ; 
Diamox ; Acetazolamida ; 
Zolamox ; Acetazolamida ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Aires ; Acetilcisteína ; 
Cetilplex ; Acetilcisteína ; 
Cisteil ; Acetilcisteína ; 
Flucistein ; Acetilcisteína ; 
Fluimucil ; Acetilcisteína ; 
Fluiteina ; Acetilcisteína ; 
Nac ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Acetilcisteína ; Acetilcisteína ; 
Bromuc ; Acetilcisteína ; 
Cetikline ; Acetilcisteína ; 
Rinofluimucil ; Acetilcisteína + Tuaminoeptano ; 
Acetofenido de Algestona + Enantato de Estradiol ; Acetofenido De Algestona + Enantato De Estradiol ; 
Acetofenido de Algestona + Enantato de Estradiol ; Acetofenido De Algestona + Enantato De Estradiol ; 
Acetofenido de Algestona + Enantato de Estradiol ; Acetofenido De Algestona + Enantato De Estradiol ; 
Aldijet ; Acetofenido De Algestona + Enantato De Estradiol ; 
Ciclovular ; Acetofenido De Algestona + Enantato De Estradiol ; 
Daiva ; Acetofenido De Algestona + Enantato De Estradiol ; 
Perlumes ; Acetofenido De Algestona + Enantato De Estradiol ; 
Perlutan ; Acetofenido De Algestona + Enantato De Estradiol ; 
Pregnolan ; Acetofenido De Algestona + Enantato De Estradiol ; 
Aciclovir ; Aciclovir ; 
Herpesil ; Aciclovir ; 
Aciclomed ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir ; Aciclovir ; 
Aciclovir Sódico ; Aciclovir Sódico ; 
Neotigason ; Acitretina ; 
Cystex ; Acriflavina + Beladona + Metenamina ; 
Humira ; Adalimumabe ; 
Humira Pen ; Adalimumabe ; 
Adacne ; Adapaleno ; 
Adapaleno ; Adapaleno ; 
Adapaleno ; Adapaleno ; 
Adapaleno ; Adapaleno ; 
Adapel ; Adapaleno ; 
Belpele ; Adapaleno ; 
Deriva Micro ; Adapaleno ; 
Differin ; Adapaleno ; 
Adapaleno ; Adapaleno ; 
Adapaleno ; Adapaleno ; 
Dalap ; Adapaleno ; 
Adacne Clin ; Adapaleno + Fosfato De Clindamicina ; 
Deriva C Micro ; Adapaleno + Fosfato De Clindamicina ; 
Epiduo ; Adapaleno + Peróxido De Benzoíla ; 
Hepsera ; Adefovir Dipivoxil ; 
Adenocard ; Adenosina ; 
Epativan B6 ; Adenosina ; 
Adenosina ; Adenosina ; 
Chofrafig ; Adenosina + Betaína + Citrato De Colina + B6 + Sorbitol + Metionina ; 
Castanha da India Atalaia ; Aesculus Hippocastanum L. ; 
Castanha da Índia - Farmabraz ; Aesculus Hippocastanum L. ; 
Castanha da Índia - Herbarium ; Aesculus Hippocastanum L. ; 
Novarrutina ; Aesculus Hippocastanum L. ; 
Phytovein ; Aesculus Hippocastanum L. ; 
Varicell Phyto ; Aesculus Hippocastanum L. ; 
Venocel ; Aesculus Hippocastanum L. ; 
Fluxoliv ; Aesculus Hippocastanum L. ; 
Proctocaps ; Aesculus Hippocastanum L. ; 
Variless ; Aesculus Hippocastanum L. ; 
Venocaps ; Aesculus Hippocastanum L. ; 
Castanha da Índia Composta ; Aesculus Hippocastanum L. + Smilax Papyraceae + Polygonum Acre + Rutina ; 
Eylia ; Aflibercepte ; 
Zaltrap ; Aflibercepte ; 
Valdoxan ; Agomelatina ; 
Alaglu ; Alanilglutamina ; 
Dipeptiven ; Alanilglutamina ; 
Contractubex ; Alantoína + Cepalin + Heparina Sódica ; 
Albel ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Mebenix ; Albendazol ; 
Monozol ; Albendazol ; 
Parasin ; Albendazol ; 
Zentel ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendazol ; Albendazol ; 
Albendrox ; Albendazol ; 
Albendy ; Albendazol ; 
Albiomin ; Albumina Humana ; 
Alburex 20 ; Albumina Humana ; 
Blaubimax ; Albumina Humana ; 
Albumax ; Albumina Humana ; 
Albumina Humana Grifols ; Albumina Humana ; 
Albumina Humana Grifols 20% ; Albumina Humana ; 
Albumina SÉrica Humana Normal ; Albumina Humana ; 
Albuminar ; Albumina Humana ; 
Beribumin ; Albumina Humana ; 
Octalbin ; Albumina Humana ; 
Plasbumin 20 ; Albumina Humana ; 
Vialebex ; Albumina Humana ; 
Polytar ; Alcatrão De Pinho + Óleo De Cade + Alcatrão Mineral ; 
Fosamax ; Alendronato Sódico ; 
Endronax ; Alendronato Sódico ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Boneprev ; Alendronato De Sódio ; 
Alendil ; Alendronato De Sódio ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Bonagran ; Alendronato De Sódio ; 
Bonalen ; Alendronato De Sódio ; 
Endrostan ; Alendronato De Sódio ; 
Minusorb ; Alendronato De Sódio ; 
Ostelox ; Alendronato De Sódio ; 
Ostenan ; Alendronato De Sódio ; 
Osteofar ; Alendronato De Sódio ; 
Osteoform ; Alendronato De Sódio ; 
Alendosseo ; Alendronato De Sódio ; 
Alendronato de Sódio ; Alendronato De Sódio ; 
Fosamax D ; Alendronato De Sódio + Colecalciferol ; 
Alendil Cálcio ; Alendronato De Sódio + Carbonato De Cálcio + Vitamina D ; 
Lemtrada ; Alentuzumabe ; 
Zemaira ; Alfa1antitripsina ; 
Prolastin ; Alfa1antitripsina ; 
Trypsone ; Alfa1antitripsina ; 
Ventia ; Alfa1antitripsina ; 
Sigmacalcidol ; Alfacalcidol ; 
Elonva ; Alfacorifolitropina ; 
Aranesp ; Alfadarbepoetina ; 
Pulmozyme ; Alfadornase ; 
Xigris ; Alfadrotrecogina ; 
Elprolix ; Alfaeftrenonacogue ; 
Alfaepoetina Humana Recombinante ; Alfaepoetina ; 
Eprex ; Alfaepoetina ; 
Eritromax ; Alfaepoetina ; 
Alfaepoetina ; Alfaepoetina ; 
Alfaepoetina ; Alfaepoetina ; 
Eritropoietína ; Alfaepoetina ; 
Hemoprex ; Alfaepoetina ; 
Alfaestradiol ; Alfaestradiol ; 
Alozex ; Alfaestradiol ; 
Avicis ; Alfaestradiol ; 
Tegan ; Alfaestradiol ; 
Gonal-f ; Alfafolitropina ; 
Ovidrel ; Alfafolitropina ; 
Gonadopin ; Alfafolitropina ; 
Replagal ; Alfagalsidase ; 
Alfainterferona ; Alfainterferona ; 
Alfainterferona 2B ; Alfainterferona ; 
Alfainterferona 2B ; Alfainterferona ; 
Blauferon A ; Alfainterferona ; 
Blauferon B ; Alfainterferona ; 
Xyntha ; Alfamoroctocogue ; 
Benefix ; Alfanonacogue ; 
Pegasys ; Alfapeginterferona 2a ; 
Pegintron ; Alfapeginterferona 2b ; 
Pegintron Melanoma ; Alfapeginterferona 2b ; 
Pegintron Redipen ; Alfapeginterferona 2b ; 
Curosurf ; Alfaporactanto ; 
Surfactante Pulmonar ; Alfaporactanto ; 
Bio Manguinhos Alfataliglicerase ; Alfataliglicerase ; 
Uplyso ; Alfataliglicerase ; 
Thyrogen ; Alfatirotropina ; 
Vpriv ; Alfavelaglicerase ; 
Preg Less ; Algestona Acetofenida + Enantato De Estradiol ; 
Uno Ciclo ; Algestona Acetofenida + Enantato De Estradiol ; 
Luftagastropro ; Alginato De Sódio + Bicarbonato De Potássio ; 
Gaviscon ; Alginato De Sódio + Bicarbonato De Sódio + Carbonato De Cálcio ; 
Gaviscon Advance ; Alginato De Sódio + Bicarbonato De Sódio + Carbonato De Cálcio ; 
Beneflora ; Alimento ; 
Centrum Control ; Alimento ; 
Enterogermina ; Alimento ; 
Flora 5 ; Alimento ; 
Funchicalm ; Alimento ; 
Glucerna SR ; Alimento ; 
Grow Zinco ; Alimento ; 
Maximus A-Z ; Alimento ; 
Nourkrin ; Alimento ; 
Novamil AR ; Alimento ; 
Valda Diet Tablete ; Alimento ; 
Vick Pastilhas ; Alimento ; 
Zerosodio ; Alimento ; 
Biolity ; Alimento ; 
Dialycare HP RPB ; Alimento ; 
Dialycare HP RTH ; Alimento ; 
Gestrinutri ; Alimento ; 
Hetox ; Alimento ; 
Viterkids Calcio+Vit D ; Alimento ; 
Viterkids Multi ; Alimento ; 
Praluent ; Alirocumabe ; 
Superan ; Alizaprida ; 
Vectarion ; Almitrina ; 
Alopurinol ; Alopurinol ; 
Alopurinol ; Alopurinol ; 
Alopurinol ; Alopurinol ; 
Zyloric ; Alopurinol ; 
Lopurax ; Alopurinol ; 
Alprazolam ; Alprazolam ; 
Frontal XR ; Alprazolam ; 
Alfron ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Alprazolam ; Alprazolam ; 
Altrox ; Alprazolam ; 
Apraz ; Alprazolam ; 
Constante (B1) ; Alprazolam ; 
Frontal ; Alprazolam ; 
Neozolam (B1) ; Alprazolam ; 
Teufron ; Alprazolam ; 
Tranquinal ; Alprazolam ; 
Caverject ; Alprostadil ; 
Alproxy ; Alprostadil ; 
Prostavasin ; Alprostadil Alfaciclodextrina ; 
Actilyse ; Alteplase ; 
Pedra Hume - ADV ; Alúmem De Potássio ; 
Mantidan ; Amantadina ; 
Volibris ; Ambrisentana ; 
Tetraspan ; Amido Hidroxietílico + Cloreto De Sódio + Cloreto De Potássio + Cloreto De Cálcio Di-Hidratado + Cloreto De Magnésio Hexaidratado + Acetato De Sódio Tri-Hidratado + Ácido Málico ; 
Ethyol ; Amifostina ; 
Diupress ; Amilorida + Clortalidona ; 
Capilarema ; Aminaftona ; 
Aminofilina ; Aminofilina ; 
Aminofilina ; Aminofilina ; 
Asmapen ; Aminofilina ; 
Aminofilina ; Aminofilina ; 
Aminofilina ; Aminofilina ; 
Aminofilina ; Aminofilina ; 
Aminofilina ; Aminofilina ; 
Aminofilina ; Aminofilina ; 
Aminolex ; Aminofilina ; 
Aminotrat ; Aminofilina ; 
Asmafin ; Aminofilina ; 
Minoton ; Aminofilina ; 
Aminosteril 10% SS + Glicose ; Aminoácidos ; 
Aminoven ; Aminoácidos ; 
Celemin TM - 10 Poliaminoácidos ; Aminoácidos ; 
Celemin TM Hepa 5% e 8% ; Aminoácidos ; 
Celemin TM Nephro 5% e 7% ; Aminoácidos ; 
Hepalina 60 ; Aminoácidos ; 
Ketosteril ; Aminoácidos ; 
Nephrotect ; Aminoácidos ; 
Plasmalyte ; Aminoácidos ; 
Smofkabiven ; Aminoácidos ; 
Smofkabiven Livre de Eletrólitos ; Aminoácidos ; 
Soramin ; Aminoácidos ; 
Socian ; Amissulprida ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxil ; Amoxicilina ; 
Atak ; Amoxicilina ; 
Novocilin ; Amoxicilina ; 
Sinot ; Amoxicilina ; 
Velamox ; Amoxicilina ; 
Amox Ems ; Amoxicilina ; 
Amoxadene ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Amoxicilina ; Amoxicilina ; 
Omepramix ; Amoxicilina + Claritromicina + Omeprazol ; 
Erradic U G ; Amoxicilina + Claritromicina + Omeprazol ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Claxam ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Atak Clav ; Amoxicilina + Clavulanato De Potássio ; 
Clavulin ; Amoxicilina + Clavulanato De Potássio ; 
Clavulin BD ; Amoxicilina + Clavulanato De Potássio ; 
Clavulin ES ; Amoxicilina + Clavulanato De Potássio ; 
Lânico ; Amoxicilina + Clavulanato De Potássio ; 
Novamox 2x ; Amoxicilina + Clavulanato De Potássio ; 
Sigma Clav Bd ; Amoxicilina + Clavulanato De Potássio ; 
Sinot Clav ; Amoxicilina + Clavulanato De Potássio ; 
Uciclav ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Amoxicilina + Clavulanato de Potássio ; Amoxicilina + Clavulanato De Potássio ; 
Sulbamox Bd ; Amoxicilina + Sulbactam ; 
Trifamox Bd ; Amoxicilina + Sulbactam ; 
Trifamox Ibl ; Amoxicilina + Sulbactam ; 
Doclaxin ; Amoxicilina + Ácido Clavulânico ; 
Esogastro IBP ; Amoxicilina Tri-Hidratada ; 
Amoxacin ; Amoxicilina Tri-Hidratada ; 
Amoxicilina ; Amoxicilina Tri-Hidratada ; 
Amoxicilina ; Amoxicilina Tri-Hidratada ; 
Amoxicilina Tri-Hidratada ; Amoxicilina Tri-Hidratada ; 
Ampicilina ; Ampicilina ; 
Ampicilina ; Ampicilina ; 
Amplacilina ; Ampicilina ; 
Ampicilab ; Ampicilina ; 
Ampicilina ; Ampicilina ; 
Ampicilina ; Ampicilina ; 
Ampicilina ; Ampicilina ; 
Ampicilina ; Ampicilina ; 
Ampicilina ; Ampicilina ; 
Ampicilina ; Ampicilina ; 
Ampicilina Anidra ; Ampicilina ; 
Ampicilina Sódica ; Ampicilina ; 
Amplatil ; Ampicilina ; 
Amplocilin ; Ampicilina ; 
Binotal ; Ampicilina ; 
Cilinon ; Ampicilina ; 
Neo Ampicilin ; Ampicilina ; 
Praticilin ; Ampicilina ; 
Uni Ampicilin ; Ampicilina ; 
Gonol ; Ampicilina + Probenecida ; 
Ampicilina ; Ampicilina Sódica ; 
Ampicilina SÓdica ; Ampicilina Sódica ; 
Ampicilina Sódica ; Ampicilina Sódica ; 
Ampicilina + Sulbactam ; Ampicilina Sódica + Sulbactam Sódico ; 
Ampicilina Sódica + Sulbactam Sódica ; Ampicilina Sódica + Sulbactam Sódico ; 
Ampicilina Sódica + Sulbactam Sódica ; Ampicilina Sódica + Sulbactam Sódico ; 
Ampicilina Sódica + Sulbactam Sódica ; Ampicilina Sódica + Sulbactam Sódico ; 
Ampicilina Sódica + Sulbactam Sódico ; Ampicilina Sódica + Sulbactam Sódico ; 
Ampicilina Sódica + Sulbactam Sódico ; Ampicilina Sódica + Sulbactam Sódico ; 
Ampicilina Sódica + Sulbactam Sódico ; Ampicilina Sódica + Sulbactam Sódico ; 
Auropennz ; Ampicilina Sódica + Sulbactam Sódico ; 
Libractam ; Ampicilina Sódica + Sulbactam Sódico ; 
Libractan ; Ampicilina Sódica + Sulbactam Sódico ; 
Novactam ; Ampicilina Sódica + Sulbactam Sódico ; 
Sulbacter ; Ampicilina Sódica + Sulbactam Sódico ; 
Unasyn ; Ampicilina Sódica + Sulbactam Sódico ; 
Vertigoheel ; Anamirta Cocculus D4 + Associação ; 
Bromelin ; Ananas Comosus ; 
Melxi ; Ananas Comosus ; 
Anastrolibbs ; Anastrozol ; 
Anastrozol ; Anastrozol ; 
Arimidex ; Anastrozol ; 
Anastrol ; Anastrozol ; 
Ambisome ; Anfotericina B ; 
Abelcet ; Anfotericina B ; 
